2025-12-23 15:54:37,674 - bulk_onboarding - INFO - Reading clients from /Users/hynes/dev/website-agents/bulk_client_onboarding.csv
2025-12-23 15:55:24,316 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:55:24,334 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:55:24,337 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:55:24,402 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:55:24,783 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:55:24,959 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 15:55:24,960 - firestarter - INFO - create.drive.categorized {'count': 13}
2025-12-23 15:55:24,961 - firestarter - INFO - create.prepare.summary {'total_docs': 135}
2025-12-23 15:55:25,340 - httpx - INFO - HTTP Request: GET https://api.digitalocean.com/v2/gen-ai/knowledge_bases "HTTP/1.1 200 OK"
2025-12-23 15:55:25,342 - firestarter - INFO - create.do.kb_created {'uuid': '3c875506-e015-11f0-b074-4e013e2ddde4', 'name': 'on-the-marc-media'}
2025-12-23 15:55:25,829 - app.clients.digital_ocean_client - INFO - [DO] Verifying sources for KB 3c875506-e015-11f0-b074-4e013e2ddde4. Expecting mintleads-client-docs/on-the-marc-media/
2025-12-23 15:55:26,191 - httpx - INFO - HTTP Request: GET https://api.digitalocean.com/v2/gen-ai/knowledge_bases/3c875506-e015-11f0-b074-4e013e2ddde4/data_sources "HTTP/1.1 200 OK"
2025-12-23 15:55:26,192 - app.clients.digital_ocean_client - INFO - [DO] Found source: uuid=21f174f5-e03e-11f0-b074-4e013e2ddde4, bucket=mintleads-client-docs, prefix='on-the-marc-media/'
2025-12-23 15:55:26,192 - app.clients.digital_ocean_client - INFO - [DO] Correct source already exists.
2025-12-23 15:55:40,979 - firestarter - INFO - create.do.uploaded {'count': 135, 'client': 'on-the-marc-media'}
2025-12-23 15:55:41,067 - firestarter - INFO - create.do.icon_uploaded {'client': 'on-the-marc-media', 'url': 'https://otmm.wpenginepowered.com/wp-content/uploads/2014/07/otmm-favicon.ico'}
